Unnamed: 0,Month,Inches,year,Location
53,August,2.24,2015,South End - Union Park St. Playground
54,September,3.75,2015,South End - Union Park St. Playground
55,October,2.06,2015,South End - Union Park St. Playground
56,November,2.15,2015,South End - Union Park St. Playground
57,December,4.41,2015,South End - Union Park St. Playground
58,January,1.42,2013,South End - Union Park St. Playground
59,February,4.02,2013,South End - Union Park St. Playground
60,March,2.38,2013,South End - Union Park St. Playground
61,April,1.59,2013,South End - Union Park St. Playground
62,May,3.51,2013,South End - Union Park St. Playground
63,June,10.49,2013,South End - Union Park St. Playground
64,July,3.74,2013,South End - Union Park St. Playground
65,August,1.9,2013,South End - Union Park St. Playground
66,September,2.44,2013,South End - Union Park St. Playground
67,October,0.66,2013,South End - Union Park St. Playground
68,November,2.96,2013,South End - Union Park St. Playground
69,December,4.48,2013,South End - Union Park St. Playground
70,January,2.66,2014,South End - Union Park St. Playground
71,February,3.26,2014,South End - Union Park St. Playground
72,March,4.7,2014,South End - Union Park St. Playground
73,April,3.56,2014,South End - Union Park St. Playground
74,May,2.88,2014,South End - Union Park St. Playground
75,June,2.57,2014,South End - Union Park St. Playground
76,July,4.85,2014,South End - Union Park St. Playground
77,August,1.89,2014,South End - Union Park St. Playground
78,September,0.6,2014,South End - Union Park St. Playground
79,October,5.48,2014,South End - Union Park St. Playground
80,November,5.65,2014,South End - Union Park St. Playground
81,December,7.92,2014,South End - Union Park St. Playground
82,January,2.88,2016,South End - Union Park St. Playground
83,February,3.89,2016,South End - Union Park St. Playground
84,March,3.34,2016,South End - Union Park St. Playground
85,April,3.35,2016,South End - Union Park St. Playground
86,May,2.81,2016,South End - Union Park St. Playground
87,June,1.18,2016,South End - Union Park St. Playground
88,July,0.87,2016,South End - Union Park St. Playground
89,August,1.84,2016,South End - Union Park St. Playground
90,September,1.35,2016,South End - Union Park St. Playground
91,October,6.14,2016,South End - Union Park St. Playground
92,November,3.02,2016,South End - Union Park St. Playground
93,December,3.22,2016,South End - Union Park St. Playground
